AREA_IN_M2;PRICE;DATE;DISTRICT
60.0;5000.0;2022-10-21;stare miasto
45.0;2000.0;2022-10-21;podolany
33.6;1700.0;2022-10-21;grunwald
60.0;6000.0;2022-10-21;stare miasto
43.0;2850.0;2022-10-21;łazarz
60.0;2999.0;2022-10-21;stare miasto
69.5;3200.0;2022-10-21;jeżyce
32.0;1900.0;2022-10-21;naramowice
20.0;2000.0;2022-10-21;winiary
40.0;100.0;2022-10-21;dębiec
53.0;2200.0;2022-10-21;podolany
32.0;1800.0;2022-10-21;naramowice
59.35;2300.0;2022-10-21;górczyn
52.0;2300.0;2022-10-21;warszawskie
60.0;3100.0;2022-10-21;jeżyce
52.6;2300.0;2022-10-21;grunwald
55.0;2500.0;2022-10-21;komandoria
50.0;3100.0;2022-10-21;naramowice
51.6;2200.0;2022-10-21;piątkowo
61.8;3600.0;2022-10-21;warszawskie
47.0;2550.0;2022-10-21;łacina
40.0;3000.0;2022-10-21;rataje
46.0;2600.0;2022-10-21;grunwald
44.0;2300.0;2022-10-21;grunwald
50.0;2500.0;2022-10-21;winiary
60.0;6000.0;2022-10-21;stare miasto
53.0;2200.0;2022-10-21;łazarz
32.0;1800.0;2022-10-21;junikowo
78.0;2900.0;2022-10-21;piątkowo
48.0;2400.0;2022-10-21;komandoria
44.0;3500.0;2022-10-21;łacina
43.0;2200.0;2022-10-21;łacina
53.0;2500.0;2022-10-21;winogrady
47.5;2200.0;2022-10-21;wilda
50.0;2000.0;2022-10-21;chartowo
78.3;1300.0;2022-10-21;grunwald
35.0;1900.0;2022-10-21;rataje
50.0;2300.0;2022-10-21;winogrady
38.0;3500.0;2022-10-21;jeżyce
120.0;2800.0;2022-10-21;warszawskie
95.0;5500.0;2022-10-21;naramowice
39.0;2000.0;2022-10-21;grunwald
68.0;3300.0;2022-10-21;winogrady
80.0;3100.0;2022-10-21;winogrady
40.0;2100.0;2022-10-21;dębiec
55.0;2300.0;2022-10-21;warszawskie
28.0;1000.0;2022-10-21;smochowice
130.0;783.0;2022-10-21;stare miasto
27.7;2500.0;2022-10-21;sołacz
33.0;2700.0;2022-10-21;naramowice
77.0;3200.0;2022-10-21;grunwald
80.0;2900.0;2022-10-21;wilda
47.0;2500.0;2022-10-21;dębiec
40.0;2500.0;2022-10-21;stare miasto
48.8;2000.0;2022-10-21;rataje
54.0;2000.0;2022-10-21;grunwald
18.0;1200.0;2022-10-21;rataje
44.0;2200.0;2022-10-21;rataje
65.0;1900.0;2022-10-21;jeżyce
51.0;2300.0;2022-10-21;górczyn
50.0;2700.0;2022-10-21;piątkowo
47.0;2400.0;2022-10-21;naramowice
78.0;3200.0;2022-10-21;łazarz
31.0;1600.0;2022-10-21;rataje
64.0;2700.0;2022-10-21;piątkowo
38.0;2300.0;2022-10-21;winogrady
55.0;2900.0;2022-10-21;rataje
38.0;2100.0;2022-10-21;łacina
70.0;9500.0;2022-10-21;jeżyce
54.56;3000.0;2022-10-21;grunwald
59.35;2000.0;2022-10-21;grunwald
71.0;2500.0;2022-10-21;grunwald
40.5;2900.0;2022-10-21;grunwald
38.0;1500.0;2022-10-21;jeżyce
49.0;2400.0;2022-10-21;naramowice
55.0;2100.0;2022-10-21;jeżyce
45.0;2400.0;2022-10-21;jeżyce
220.0;6000.0;2022-10-21;wilda
46.0;2350.0;2022-10-21;podolany
49.0;2350.0;2022-10-21;jeżyce
53.0;2700.0;2022-10-21;wilda
36.0;2500.0;2022-10-21;rataje
120.0;8400.0;2022-10-21;warszawskie
50.0;2700.0;2022-10-21;rataje
30.31;2200.0;2022-10-21;jeżyce
55.0;7000.0;2022-10-21;stare miasto
49.0;2200.0;2022-10-21;górczyn
49.0;3200.0;2022-10-21;warszawskie
50.0;2500.0;2022-10-21;grunwald
44.0;2800.0;2022-10-21;rataje
72.0;2600.0;2022-10-21;stare miasto
50.0;2300.0;2022-10-21;piątkowo
69.9;3000.0;2022-10-21;jeżyce
42.81;2450.0;2022-10-21;wilda
50.0;3300.0;2022-10-21;jeżyce
38.0;1600.0;2022-10-21;winogrady
28.0;1800.0;2022-10-21;starołęka
50.0;2200.0;2022-10-21;stare miasto
40.0;2500.0;2022-10-21;chartowo
50.0;3000.0;2022-10-21;łazarz
56.17;3200.0;2022-10-21;łacina
82.0;2600.0;2022-10-21;grunwald
65.0;1700.0;2022-10-21;strzeszyn
60.0;6000.0;2022-10-21;stare miasto
50.0;2500.0;2022-10-21;dębiec
55.2;2000.0;2022-10-21;piątkowo
37.0;2300.0;2022-10-21;jeżyce
38.0;2500.0;2022-10-21;rataje
65.0;2800.0;2022-10-21;chartowo
50.39;2900.0;2022-10-21;sołacz
38.0;1700.0;2022-10-21;grunwald
47.0;3000.0;2022-10-21;naramowice
50.0;2600.0;2022-10-21;winogrady
31.0;1400.0;2022-10-21;starołęka
40.0;2500.0;2022-10-21;grunwald
47.3;1900.0;2022-10-21;winogrady
78.0;1600.0;2022-10-21;łazarz
7.0;1000.0;2022-10-21;piątkowo
40.0;2200.0;2022-10-21;winiary
51.0;3500.0;2022-10-21;stare miasto
37.0;1650.0;2022-10-21;górczyn
27.0;1600.0;2022-10-21;śródka
40.0;1600.0;2022-10-21;winogrady
42.0;2700.0;2022-10-21;rataje
49.0;2300.0;2022-10-21;piątkowo
53.0;2600.0;2022-10-21;winogrady
70.0;1600.0;2022-10-21;łazarz
100.0;2300.0;2022-10-21;grunwald
43.0;1900.0;2022-10-21;jeżyce
32.0;1900.0;2022-10-21;jeżyce
48.0;2000.0;2022-10-21;grunwald
75.0;3200.0;2022-10-21;jeżyce
65.5;2800.0;2022-10-21;wilda
34.0;2500.0;2022-10-21;wilda
35.0;4500.0;2022-10-21;łazarz
43.0;2100.0;2022-10-21;jeżyce
16.0;1500.0;2022-10-21;stare miasto
42.0;2000.0;2022-10-21;podolany
48.0;2150.0;2022-10-21;winogrady
53.0;1900.0;2022-10-21;wilda
38.0;2200.0;2022-10-21;rataje
38.0;2300.0;2022-10-21;górczyn
64.0;3000.0;2022-10-21;rataje
55.0;6000.0;2022-10-21;stare miasto
65.0;2700.0;2022-10-21;grunwald
33.0;1300.0;2022-10-21;górczyn
60.0;5500.0;2022-10-21;stare miasto
75.0;3200.0;2022-10-21;starołęka
50.0;3500.0;2022-10-21;grunwald
33.0;2600.0;2022-10-21;wilda
64.0;2100.0;2022-10-21;winogrady
40.0;2600.0;2022-10-21;wilda
48.0;2200.0;2022-10-21;warszawskie
49.0;1500.0;2022-10-21;piątkowo
30.0;1200.0;2022-10-21;warszawskie
50.0;8500.0;2022-10-21;stare miasto
52.0;1900.0;2022-10-21;smochowice
44.0;2000.0;2022-10-21;wilda
65.0;2400.0;2022-10-21;jeżyce
70.0;2600.0;2022-10-21;starołęka
54.0;3300.0;2022-10-21;jeżyce
58.0;3100.0;2022-10-21;stare miasto
50.0;2400.0;2022-10-21;stare miasto
58.0;2600.0;2022-10-21;górczyn
42.0;2700.0;2022-10-21;łacina
47.0;2000.0;2022-10-21;piątkowo
70.0;1850.0;2022-10-21;stare miasto
76.0;5000.0;2022-10-21;piątkowo
52.0;2800.0;2022-10-21;górczyn
60.0;2500.0;2022-10-21;stare miasto
56.0;2200.0;2022-10-21;winogrady
69.0;3500.0;2022-10-21;rataje
65.0;2000.0;2022-10-21;piątkowo
50.0;2600.0;2022-10-21;rataje
42.0;2000.0;2022-10-21;łazarz
80.0;3000.0;2022-10-21;rataje
130.0;4500.0;2022-10-21;stare miasto
62.0;3200.0;2022-10-21;grunwald
34.0;2400.0;2022-10-21;junikowo
30.0;2400.0;2022-10-21;jeżyce
110.0;450.0;2022-10-21;wilda
42.0;2400.0;2022-10-21;sołacz
45.0;2500.0;2022-10-21;dębiec
70.0;2500.0;2022-10-21;łazarz
52.0;2100.0;2022-10-21;piątkowo
30.0;1380.0;2022-10-21;junikowo
105.0;2000.0;2022-10-21;łazarz
50.0;1800.0;2022-10-21;dębiec
61.3;2400.0;2022-10-21;piątkowo
47.1;2700.0;2022-10-21;komandoria
46.0;1900.0;2022-10-21;piątkowo
36.0;2600.0;2022-10-21;starołęka
53.0;1400.0;2022-10-21;rataje
55.0;2300.0;2022-10-21;warszawskie
75.0;3500.0;2022-10-21;starołęka
35.0;2500.0;2022-10-21;sołacz
60.0;3600.0;2022-10-21;wilda
60.0;2500.0;2022-10-21;górczyn
51.0;1899.0;2022-10-21;piątkowo
37.0;1800.0;2022-10-21;winiary
74.0;2600.0;2022-10-21;stare miasto
55.0;2299.0;2022-10-21;łazarz
42.0;1450.0;2022-10-21;jeżyce
57.1;3370.0;2022-10-21;warszawskie
48.0;2700.0;2022-10-21;winogrady
50.3;3200.0;2022-10-21;warszawskie
60.0;2600.0;2022-10-21;stare miasto
22.0;1620.0;2022-10-21;wilda
12.0;2000.0;2022-10-21;piątkowo
34.0;2100.0;2022-10-21;łazarz
30.0;2200.0;2022-10-21;wilda
49.5;2100.0;2022-10-21;piątkowo
130.0;4500.0;2022-10-21;stare miasto
64.0;2200.0;2022-10-21;chartowo
87.0;3600.0;2022-10-21;naramowice
69.0;3300.0;2022-10-21;grunwald
38.0;1800.0;2022-10-21;rataje
45.0;2500.0;2022-10-21;wilda
39.0;2100.0;2022-10-21;dębiec
80.0;2900.0;2022-10-21;wilda
53.0;2300.0;2022-10-21;strzeszyn
59.0;2200.0;2022-10-21;winiary
58.0;2600.0;2022-10-21;chartowo
