OFFER_ID,AREA_IN_M2,PRICE,FEES,DATE,FLOOR,DISTRICT,FURNISHED,DEVELOPMENT_TYPE,NUMBER_OF_ROOMS
783573846,56.7,2000.0,500.0,2022-10-20,3.0,łazarz,1.0,Kamienica,2.0
699182179,32.0,1900.0,600.0,2022-10-20,1.0,naramowice,1.0,Blok,1.0
789725155,40.0,2000.0,400.0,2022-10-20,2.0,górczyn,1.0,Blok,2.0
785001616,50.0,2600.0,450.0,2022-10-20,3.0,rataje,1.0,Blok,2.0
772378679,32.0,1800.0,300.0,2022-10-20,8.0,naramowice,1.0,Blok,2.0
787778646,130.0,4500.0,1.0,2022-10-20,1.0,stare miasto,0.0,Kamienica,
780811960,64.0,2500.0,1.0,2022-10-20,,sołacz,1.0,Szeregowiec,3.0
789097375,32.0,2600.0,450.0,2022-10-20,2.0,łazarz,1.0,Apartamentowiec,2.0
778989502,60.0,2400.0,1.0,2022-10-20,1.0,stare miasto,1.0,Pozostałe,3.0
789887714,69.5,3400.0,700.0,2022-10-20,1.0,jeżyce,1.0,Blok,3.0
789892195,44.0,2500.0,700.0,2022-10-20,5.0,podolany,1.0,Blok,2.0
687054779,28.0,1700.0,500.0,2022-10-20,0.0,grunwald,1.0,Blok,1.0
789261200,49.0,2900.0,538.0,2022-10-20,1.0,stare miasto,1.0,Blok,2.0
788632575,50.0,1800.0,650.0,2022-10-20,2.0,łazarz,1.0,Blok,2.0
784659004,106.0,3500.0,400.0,2022-10-20,1.0,jeżyce,0.0,Kamienica,3.0
775652046,58.0,2600.0,750.0,2022-10-20,1.0,chartowo,1.0,Blok,3.0
773522801,80.0,5000.0,1.0,2022-10-20,0.0,ławica,1.0,Dom wolnostojący,
786777701,75.0,3500.0,450.0,2022-10-20,3.0,starołęka,0.0,Apartamentowiec,3.0
785373210,48.0,2150.0,500.0,2022-10-20,2.0,winogrady,1.0,Blok,3.0
787834940,30.0,1400.0,220.0,2022-10-20,0.0,łazarz,0.0,Kamienica,1.0
789096696,49.0,1500.0,1.0,2022-10-20,,piątkowo,1.0,Blok,2.0
786059310,40.0,2500.0,500.0,2022-10-20,0.0,grunwald,1.0,Apartamentowiec,2.0
